state_cens,state,state2,empl,member,year
16,Connecticut,CT,1548362.5958333348,292060.7958333332,1991
51,Delaware,DE,305142.1416666662,50943.649166666655,1991
53,District of Columbia,DC,267292.1008333332,40299.95166666666,1991
59,Florida,FL,5185138.492499998,448970.4383333331,1991
58,Georgia,GA,2767164.3158333316,187499.72583333327,1991
95,Hawaii,HI,493124.4983333345,142793.61999999994,1991
82,Idaho,ID,404627.39000000036,35773.326666666675,1991
33,Illinois,IL,4949804.185000005,1035262.1950000004,1991
32,Indiana,IN,2351777.389999997,452325.7841666662,1991
42,Iowa,IA,1155710.4541666694,157999.69416666662,1991
47,Kansas,KS,1036142.1774999972,124113.0691666666,1991
61,Kentucky,KY,1380161.874166666,182266.8825,1991
72,Louisiana,LA,1548865.9499999976,120202.10499999997,1991
11,Maine,ME,489379.2033333341,89041.13,1991
52,Maryland,MD,2212872.624999998,312826.04833333346,1991
14,Massachusetts,MA,2556715.403333324,444533.1425000003,1991
34,Michigan,MI,3765847.186666674,926683.5000000003,1991
41,Minnesota,MN,1973883.1491666643,421570.9275,1991
64,Mississippi,MS,981726.2608333308,80246.14916666668,1991
43,Missouri,MO,2158617.5983333313,304161.9283333334,1991
81,Montana,MT,292164.31250000006,50112.99083333335,1991
46,Nebraska,NE,671073.7941666661,71860.36833333332,1991
88,Nevada,NV,586607.1775,107140.6650000001,1991
12,New Hampshire,NH,506473.99166666705,58469.47333333333,1991
22,New Jersey,NJ,3356516.982499988,814605.6433333335,1991
85,New Mexico,NM,566139.3975000001,50049.04250000001,1991
21,New York,NY,7187712.663333333,2094164.714166669,1991
56,North Carolina,NC,2924904.1058333316,150201.1124999999,1991
44,North Dakota,ND,241833.74833333353,22833.769166666665,1991
31,Ohio,OH,4574098.250000017,941226.3791666661,1991
73,Oklahoma,OK,1157001.3974999997,117910.88416666664,1991
92,Oregon,OR,1193059.2716666684,224891.46416666682,1991
23,Pennsylvania,PA,4848405.793333357,979770.2258333345,1991
15,Rhode Island,RI,416939.7649999997,85856.08166666662,1991
57,South Carolina,SC,1511734.9574999935,78435.68666666663,1991
45,South Dakota,SD,263798.70916666696,23284.527500000004,1991
62,Tennessee,TN,2035242.0858333309,223222.3425000001,1991
74,Texas,TX,7262658.536666696,465713.2058333331,1991
87,Utah,UT,683463.3700000014,63417.17166666665,1991
13,Vermont,VT,234900.96666666653,27163.485833333336,1991
54,Virginia,VA,2839899.735000003,245969.8033333335,1991
91,Washington,WA,2092744.1508333376,477200.5083333332,1991
55,West Virginia,WV,637904.1399999998,122894.11749999993,1991
35,Wisconsin,WI,2174291.2083333354,452698.233333333,1991
83,Wyoming,WY,185488.53583333315,22613.9925,1991
63,Alabama,AL,1632354.8241666674,225006.78583333344,1992
94,Alaska,AK,220583.92833333358,45379.87500000001,1992
86,Arizona,AZ,1474813.1866666703,105611.78166666665,1992
71,Arkansas,AR,927290.2224999997,79375.34583333334,1992
93,California,CA,12076509.18250001,2169214.508333333,1992
84,Colorado,CO,1477502.395833333,150155.1774999999,1992
16,Connecticut,CT,1500035.3216666656,267020.59583333344,1992
51,Delaware,DE,309790.55166666606,50915.21666666666,1992
53,District of Columbia,DC,264486.01999999996,35270.77249999998,1992
59,Florida,FL,5197596.142499983,416034.22499999986,1992
58,Georgia,GA,2807955.7650000025,202974.2708333334,1992
95,Hawaii,HI,499023.6133333341,143314.04916666672,1992
82,Idaho,ID,418363.67166666756,38240.211666666655,1992
33,Illinois,IL,4986919.094166653,1018469.9808333329,1992
32,Indiana,IN,2410959.638333338,460302.00083333364,1992
42,Iowa,IA,1239394.7075000012,166497.77999999994,1992
47,Kansas,KS,1072072.1891666667,122134.07500000006,1992
61,Kentucky,KY,1401954.0366666638,176438.95750000002,1992
72,Louisiana,LA,1544128.007499997,121014.80249999995,1992
11,Maine,ME,510284.51000000053,75607.83083333334,1992
52,Maryland,MD,2246071.1075000004,346014.7716666666,1992
14,Massachusetts,MA,2556925.469166665,433832.14000000054,1992
34,Michigan,MI,3836997.5641666693,976961.7058333344,1992
41,Minnesota,MN,1986590.3875000044,437710.6950000004,1992
64,Mississippi,MS,985616.3191666682,89400.0925,1992
43,Missouri,MO,2225336.5575000024,303909.36333333363,1992
81,Montana,MT,312906.17666666646,58587.10416666671,1992
46,Nebraska,NE,675353.3108333339,71874.18249999998,1992
88,Nevada,NV,606423.7249999997,114669.4974999999,1992
12,New Hampshire,NH,497963.2733333337,48327.24999999997,1992
22,New Jersey,NJ,3330835.1908333395,762298.1575000001,1992
85,New Mexico,NM,578463.9108333332,51375.249999999985,1992
21,New York,NY,6951595.309166677,1920336.2424999983,1992
56,North Carolina,NC,2959233.335833325,142444.515,1992
44,North Dakota,ND,241686.03583333298,22532.938333333335,1992
